Variant,Params,Accuracy,F1
Full (proposed),70950,0.9965333333333334,0.9965318977672413
No BatchNorm,70502,0.9658666666666667,0.9656704217054479
No Dropout,70950,0.9976,0.9976000130923196
Flatten (no GAP),4134182,0.9997333333333334,0.9997333665842891
2 conv blocks,29606,0.9914666666666667,0.9914690321933294
1 conv block,10982,0.9728,0.9728216588623014
