sigma_V,CNN_acc,HGB_acc
0.0,0.9973333333333333,0.9486666666666667
0.5,0.9966666666666667,0.956
1.0,0.9953333333333333,0.9473333333333334
2.0,0.9953333333333333,0.9573333333333334
3.0,0.9973333333333333,0.9306666666666666
5.0,0.9773333333333334,0.7966666666666666
8.0,0.8286666666666667,0.7126666666666667
12.0,0.5806666666666667,0.616
18.0,0.26266666666666666,0.5266666666666666
25.0,0.19266666666666668,0.436
